,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
s11,24.3151799768043,24.54894005557533,24.993486232731446,23.585805136412453,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.592745630713843,24.58661953892471,23.212042908527568,16.766997654917002,19.739909339332847,18.38211242168337,18.86037705115412,24.978522935921248,24.110233302615107,24.988356176159268
s12,24.3151799768043,24.54894005557533,24.993486232731446,23.585805136412453,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.592745630713843,24.58661953892471,23.212042908527568,16.766997654917002,19.739909339332847,18.38211242168337,18.86037705115412,24.978522935921248,24.110233302615107,24.988356176159268
s13,24.3151799768043,24.54894005557533,24.993486232731446,23.585805136412453,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.592745630713843,24.58661953892471,23.212042908527568,16.766997654917002,19.739909339332847,18.38211242168337,18.86037705115412,24.978522935921248,24.110233302615107,24.988356176159268
s14,24.3151799768043,24.54894005557533,24.993486232731446,23.585805136412453,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.592745630713843,24.58661953892471,23.212042908527568,16.766997654917002,19.739909339332847,18.38211242168337,18.86037705115412,24.978522935921248,24.110233302615107,24.988356176159268
s15,24.3151799768043,24.54894005557533,24.993486232731446,23.585805136412453,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.592745630713843,24.58661953892471,23.212042908527568,16.766997654917002,19.739909339332847,18.38211242168337,18.86037705115412,24.978522935921248,24.110233302615107,24.988356176159268
s16,24.3151799768043,24.54894005557533,24.993486232731446,23.585805136412453,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.592745630713843,24.58661953892471,23.212042908527568,16.766997654917002,19.739909339332847,18.38211242168337,18.86037705115412,24.978522935921248,24.110233302615107,24.988356176159268
s17,24.3151799768043,24.54894005557533,24.993486232731446,23.585805136412453,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.592745630713843,24.58661953892471,23.212042908527568,16.766997654917002,19.739909339332847,18.38211242168337,18.86037705115412,24.978522935921248,24.110233302615107,24.988356176159268
s18,24.3151799768043,24.54894005557533,24.993486232731446,23.585805136412453,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.592745630713843,24.58661953892471,23.212042908527568,16.766997654917002,19.739909339332847,18.38211242168337,18.86037705115412,24.978522935921248,24.110233302615107,24.988356176159268
s19,24.3151799768043,24.54894005557533,24.993486232731446,23.585805136412453,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.592745630713843,24.58661953892471,23.212042908527568,16.766997654917002,19.739909339332847,18.38211242168337,18.86037705115412,24.978522935921248,24.110233302615107,24.988356176159268
s20,24.3151799768043,24.54894005557533,24.993486232731446,23.585805136412453,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.592745630713843,24.58661953892471,23.212042908527568,16.766997654917002,19.739909339332847,18.38211242168337,18.86037705115412,24.978522935921248,24.110233302615107,24.988356176159268
s21,24.399697124509398,25.0,24.9961105795818,24.316763758930588,23.27748298031948,24.401586843038643,24.09126221562977,25.0,24.99184307097532,25.0,23.552165682069283,21.50683894386781,21.423654948540864,22.87348412713867,22.56439145691112,22.846588882314386,14.114678207120551,11.729938668724479,14.338488655949053,18.955938908072973,20.000262520773564,19.606661804391013,18.71518353746352,23.026677806739517
s22,24.399697124509398,25.0,24.9961105795818,24.316763758930588,23.27748298031948,24.401586843038643,24.09126221562977,25.0,24.99184307097532,25.0,23.552165682069283,21.50683894386781,21.423654948540864,22.87348412713867,22.56439145691112,22.846588882314386,14.114678207120551,11.729938668724479,14.338488655949053,18.955938908072973,20.000262520773564,19.606661804391013,18.71518353746352,23.026677806739517
s23,24.399697124509398,25.0,24.9961105795818,24.316763758930588,23.27748298031948,24.401586843038643,24.09126221562977,25.0,24.99184307097532,25.0,23.552165682069283,21.50683894386781,21.423654948540864,22.87348412713867,22.56439145691112,22.846588882314386,14.114678207120551,11.729938668724479,14.338488655949053,18.955938908072973,20.000262520773564,19.606661804391013,18.71518353746352,23.026677806739517
s24,24.399697124509398,25.0,24.9961105795818,24.316763758930588,23.27748298031948,24.401586843038643,24.09126221562977,25.0,24.99184307097532,25.0,23.552165682069283,21.50683894386781,21.423654948540864,22.87348412713867,22.56439145691112,22.846588882314386,14.114678207120551,11.729938668724479,14.338488655949053,18.955938908072973,20.000262520773564,19.606661804391013,18.71518353746352,23.026677806739517
s25,24.399697124509398,25.0,24.9961105795818,24.316763758930588,23.27748298031948,24.401586843038643,24.09126221562977,25.0,24.99184307097532,25.0,23.552165682069283,21.50683894386781,21.423654948540864,22.87348412713867,22.56439145691112,22.846588882314386,14.114678207120551,11.729938668724479,14.338488655949053,18.955938908072973,20.000262520773564,19.606661804391013,18.71518353746352,23.026677806739517
s26,24.399697124509398,25.0,24.9961105795818,24.316763758930588,23.27748298031948,24.401586843038643,24.09126221562977,25.0,24.99184307097532,25.0,23.552165682069283,21.50683894386781,21.423654948540864,22.87348412713867,22.56439145691112,22.846588882314386,14.114678207120551,11.729938668724479,14.338488655949053,18.955938908072973,20.000262520773564,19.606661804391013,18.71518353746352,23.026677806739517
s27,24.399697124509398,25.0,24.9961105795818,24.316763758930588,23.27748298031948,24.401586843038643,24.09126221562977,25.0,24.99184307097532,25.0,23.552165682069283,21.50683894386781,21.423654948540864,22.87348412713867,22.56439145691112,22.846588882314386,14.114678207120551,11.729938668724479,14.338488655949053,18.955938908072973,20.000262520773564,19.606661804391013,18.71518353746352,23.026677806739517
s28,24.399697124509398,25.0,24.9961105795818,24.316763758930588,23.27748298031948,24.401586843038643,24.09126221562977,25.0,24.99184307097532,25.0,23.552165682069283,21.50683894386781,21.423654948540864,22.87348412713867,22.56439145691112,22.846588882314386,14.114678207120551,11.729938668724479,14.338488655949053,18.955938908072973,20.000262520773564,19.606661804391013,18.71518353746352,23.026677806739517
s29,24.399697124509398,25.0,24.9961105795818,24.316763758930588,23.27748298031948,24.401586843038643,24.09126221562977,25.0,24.99184307097532,25.0,23.552165682069283,21.50683894386781,21.423654948540864,22.87348412713867,22.56439145691112,22.846588882314386,14.114678207120551,11.729938668724479,14.338488655949053,18.955938908072973,20.000262520773564,19.606661804391013,18.71518353746352,23.026677806739517
s30,24.399697124509398,25.0,24.9961105795818,24.316763758930588,23.27748298031948,24.401586843038643,24.09126221562977,25.0,24.99184307097532,25.0,23.552165682069283,21.50683894386781,21.423654948540864,22.87348412713867,22.56439145691112,22.846588882314386,14.114678207120551,11.729938668724479,14.338488655949053,18.955938908072973,20.000262520773564,19.606661804391013,18.71518353746352,23.026677806739517
s31,24.399697124509398,25.0,24.9961105795818,24.316763758930588,23.27748298031948,24.401586843038643,24.09126221562977,25.0,24.99184307097532,25.0,23.552165682069283,21.50683894386781,21.423654948540864,22.87348412713867,22.56439145691112,22.846588882314386,14.114678207120551,11.729938668724479,14.338488655949053,18.955938908072973,20.000262520773564,19.606661804391013,18.71518353746352,23.026677806739517
s32,24.399697124509398,25.0,24.9961105795818,24.316763758930588,23.27748298031948,24.401586843038643,24.09126221562977,25.0,24.99184307097532,25.0,23.552165682069283,21.50683894386781,21.423654948540864,22.87348412713867,22.56439145691112,22.846588882314386,14.114678207120551,11.729938668724479,14.338488655949053,18.955938908072973,20.000262520773564,19.606661804391013,18.71518353746352,23.026677806739517
s33,24.399697124509398,25.0,24.9961105795818,24.316763758930588,23.27748298031948,24.401586843038643,24.09126221562977,25.0,24.99184307097532,25.0,23.552165682069283,21.50683894386781,21.423654948540864,22.87348412713867,22.56439145691112,22.846588882314386,14.114678207120551,11.729938668724479,14.338488655949053,18.955938908072973,20.000262520773564,19.606661804391013,18.71518353746352,23.026677806739517
s34,24.399697124509398,25.0,24.9961105795818,24.316763758930588,23.27748298031948,24.401586843038643,24.09126221562977,25.0,24.99184307097532,25.0,23.552165682069283,21.50683894386781,21.423654948540864,22.87348412713867,22.56439145691112,22.846588882314386,14.114678207120551,11.729938668724479,14.338488655949053,18.955938908072973,20.000262520773564,19.606661804391013,18.71518353746352,23.026677806739517
s35,24.399697124509398,25.0,24.9961105795818,24.316763758930588,23.27748298031948,24.401586843038643,24.09126221562977,25.0,24.99184307097532,25.0,23.552165682069283,21.50683894386781,21.423654948540864,22.87348412713867,22.56439145691112,22.846588882314386,14.114678207120551,11.729938668724479,14.338488655949053,18.955938908072973,20.000262520773564,19.606661804391013,18.71518353746352,23.026677806739517
s36,24.399697124509398,25.0,24.9961105795818,24.316763758930588,23.27748298031948,24.401586843038643,24.09126221562977,25.0,24.99184307097532,25.0,23.552165682069283,21.50683894386781,21.423654948540864,22.87348412713867,22.56439145691112,22.846588882314386,14.114678207120551,11.729938668724479,14.338488655949053,18.955938908072973,20.000262520773564,19.606661804391013,18.71518353746352,23.026677806739517
s37,24.399697124509398,25.0,24.9961105795818,24.316763758930588,23.27748298031948,24.401586843038643,24.09126221562977,25.0,24.99184307097532,25.0,23.552165682069283,21.50683894386781,21.423654948540864,22.87348412713867,22.56439145691112,22.846588882314386,14.114678207120551,11.729938668724479,14.338488655949053,18.955938908072973,20.000262520773564,19.606661804391013,18.71518353746352,23.026677806739517
s38,24.399697124509398,25.0,24.9961105795818,24.316763758930588,23.27748298031948,24.401586843038643,24.09126221562977,25.0,24.99184307097532,25.0,23.552165682069283,21.50683894386781,21.423654948540864,22.87348412713867,22.56439145691112,22.846588882314386,14.114678207120551,11.729938668724479,14.338488655949053,18.955938908072973,20.000262520773564,19.606661804391013,18.71518353746352,23.026677806739517
s39,24.399697124509398,25.0,24.9961105795818,24.316763758930588,23.27748298031948,24.401586843038643,24.09126221562977,25.0,24.99184307097532,25.0,23.552165682069283,21.50683894386781,21.423654948540864,22.87348412713867,22.56439145691112,22.846588882314386,14.114678207120551,11.729938668724479,14.338488655949053,18.955938908072973,20.000262520773564,19.606661804391013,18.71518353746352,23.026677806739517
s40,24.399697124509398,25.0,24.9961105795818,24.316763758930588,23.27748298031948,24.401586843038643,24.09126221562977,25.0,24.99184307097532,25.0,23.552165682069283,21.50683894386781,21.423654948540864,22.87348412713867,22.56439145691112,22.846588882314386,14.114678207120551,11.729938668724479,14.338488655949053,18.955938908072973,20.000262520773564,19.606661804391013,18.71518353746352,23.026677806739517
s41,20.536060241995585,23.88756948378203,24.97783450938563,25.0,25.0,25.0,25.0,24.974663548931844,25.0,25.0,25.0,25.0,25.0,24.999748955649046,24.979656030018802,24.44723485032077,24.47203454658526,24.334923881700764,21.984289530753244,20.370474453473488,17.094760202356564,15.963345802416425,19.115495082291247,18.16591449659305
